_id,Produto,Categoria do Produto,Preço,Frete,Data da Compra,Vendedor,Local da compra,Avaliação da compra,Tipo de pagamento,Quantidade de parcelas,Latitude,Longitude
684346752ccfd5e865876ed7,Xadrez de madeira,brinquedos,28.76,0.0,2021-03-01,Lucas Oliveira,SP,4,cartao_credito,5,-22.19,-48.79
684346752ccfd5e865876ed9,Cubo mágico 8x8,brinquedos,14.52,3.9369626407,2021-03-01,Thiago Silva,DF,5,cartao_credito,5,-15.83,-47.86
684346752ccfd5e865876edd,Bola de vôlei,esporte e lazer,54.42,3.1808271914,2022-03-01,Lucas Oliveira,SP,5,cartao_credito,1,-22.19,-48.79
684346752ccfd5e865876ede,Guarda roupas,moveis,663.54,36.0185209544,2022-03-01,Juliana Costa,RS,3,cartao_credito,10,-30.17,-53.5
684346752ccfd5e865876edf,Lavadora de roupas,eletrodomesticos,2060.2,107.2838911531,2022-03-01,Mariana Ferreira,PB,4,cartao_credito,5,-7.28,-36.72
684346752ccfd5e865876ee1,Sofá retrátil,moveis,890.4,44.9955603837,2022-03-01,Rafael Costa,RS,4,boleto,1,-30.17,-53.5
684346752ccfd5e865876ee4,Headset,eletronicos,219.88,11.9967253244,2022-03-01,Mariana Ferreira,CE,5,cartao_credito,4,-5.2,-39.53
684346752ccfd5e865876ee6,Lavadora de roupas,eletrodomesticos,1732.36,89.8273974282,2022-03-01,Bruno Rodrigues,RJ,5,cartao_credito,2,-22.25,-42.66
684346752ccfd5e865876eec,Cama box,moveis,834.98,44.9912775682,2023-03-01,Mariana Ferreira,SP,1,cartao_credito,3,-22.19,-48.79
684346752ccfd5e865876ef1,Assistente virtual,eletronicos,180.46,10.295964254,2021-04-01,Lucas Oliveira,PE,1,cartao_credito,4,-8.38,-37.86
684346752ccfd5e865876ef3,Bicicleta,esporte e lazer,773.72,41.729366863,2021-04-01,João Souza,MG,5,cartao_credito,1,-18.1,-44.38
684346752ccfd5e865876ef6,Guitarra,instrumentos musicais,892.6,48.0545296884,2021-04-01,Mariana Ferreira,PR,4,boleto,1,-24.89,-51.55
684346752ccfd5e865876f0a,Kit banquetas,moveis,394.53,21.533800584,2021-05-01,Felipe Santos,SC,5,cartao_credito,3,-27.45,-50.95
684346752ccfd5e865876f0c,Geladeira,eletrodomesticos,2405.84,129.5028576086,2021-05-01,Isabella Pereira,RJ,3,cartao_credito,2,-22.25,-42.66
684346752ccfd5e865876f0d,Headset,eletronicos,98.2,2.8132936411,2021-05-01,Felipe Santos,RJ,5,cartao_credito,4,-22.25,-42.66
684346752ccfd5e865876f0f,Micro-ondas,eletrodomesticos,1034.13,55.5954159446,2021-05-01,Mariana Ferreira,SP,4,cartao_credito,4,-22.19,-48.79
684346752ccfd5e865876f18,Cadeira de escritório,moveis,403.02,21.9907070783,2022-05-01,Juliana Costa,MG,1,boleto,1,-18.1,-44.38
684346752ccfd5e865876f2b,Bola de basquete,esporte e lazer,70.87,1.3580533608,2022-06-01,Felipe Santos,SP,4,cartao_credito,1,-22.19,-48.79
684346752ccfd5e865876f2f,Copo térmico,esporte e lazer,72.03,5.2344961512,2022-06-01,Felipe Santos,CE,5,cartao_credito,8,-5.2,-39.53
684346752ccfd5e865876f33,Cubo mágico 8x8,brinquedos,12.83,2.0822742487,2022-06-01,Mariana Ferreira,SP,5,cartao_credito,7,-22.19,-48.79
684346752ccfd5e865876f3f,Cama box,moveis,664.41,32.9622727529,2021-07-01,Beatriz Moraes,PR,5,cartao_credito,1,-24.89,-51.55
684346752ccfd5e865876f44,Corda de pular,esporte e lazer,26.63,1.9490719113,2022-07-01,Thiago Silva,SP,5,cartao_credito,2,-22.19,-48.79
684346752ccfd5e865876f4c,Modelagem preditiva,livros,105.99,3.2280877057,2022-07-01,Thiago Silva,SP,1,cartao_credito,4,-22.19,-48.79
684346752ccfd5e865876f59,Lava louças,eletrodomesticos,1304.52,67.0462045436,2021-08-01,Beatriz Moraes,RS,5,cartao_credito,5,-30.17,-53.5
684346752ccfd5e865876f5c,Poltrona,moveis,280.79,15.6382349209,2021-08-01,Camila Ribeiro,RJ,5,cartao_debito,1,-22.25,-42.66
684346752ccfd5e865876f5e,Lavadora de roupas,eletrodomesticos,1673.59,95.4932470308,2021-08-01,João Souza,SP,1,boleto,1,-22.19,-48.79
684346752ccfd5e865876f61,Modelagem preditiva,livros,101.54,14.5010858917,2021-08-01,Rafael Costa,DF,3,cartao_credito,4,-15.83,-47.86
684346752ccfd5e865876f67,Smartwatch,eletronicos,237.47,14.2973574466,2022-08-01,Bruno Rodrigues,MG,5,cartao_credito,1,-18.1,-44.38
684346752ccfd5e865876f6d,Bicicleta,esporte e lazer,928.16,47.0061667864,2022-08-01,Thiago Silva,SP,5,cartao_credito,1,-22.19,-48.79
684346752ccfd5e865876f70,Corda de pular,esporte e lazer,15.28,1.5006261822,2022-08-01,Isabella Pereira,SP,5,cartao_credito,1,-22.19,-48.79
684346752ccfd5e865876f7d,Assistente virtual,eletronicos,288.45,16.2475099009,2021-09-01,Camila Ribeiro,RS,3,cartao_credito,8,-30.17,-53.5
684346752ccfd5e865876f7e,Celular ABXY,eletronicos,1763.75,94.4406464175,2021-09-01,Thiago Silva,SP,5,cartao_credito,8,-22.19,-48.79
684346752ccfd5e865876f86,Celular ABXY,eletronicos,1200.6,64.2114640192,2022-09-01,Camila Ribeiro,SP,5,cupom,1,-22.19,-48.79
684346752ccfd5e865876f8d,Lavadora de roupas,eletrodomesticos,1709.15,88.5915347532,2021-10-01,Beatriz Moraes,PA,5,boleto,1,-3.79,-52.48
684346752ccfd5e865876f8f,Poltrona,moveis,275.98,14.9782306495,2021-10-01,Bianca Santos,RJ,5,cartao_credito,4,-22.25,-42.66
684346752ccfd5e865876e9f,Geladeira,eletrodomesticos,2322.94,121.2740057251,2022-01-01,Thiago Silva,RS,5,cartao_credito,10,-30.17,-53.5
684346752ccfd5e865876ea1,Jogo de copos,utilidades domesticas,37.44,2.8819825404,2022-01-01,Thiago Silva,RJ,4,cartao_credito,4,-22.25,-42.66
684346752ccfd5e865876ea3,Iniciando em programação,livros,63.25,3.894137208,2022-01-01,Juliana Costa,RJ,5,cartao_credito,4,-22.25,-42.66
684346752ccfd5e865876ea4,Fogão,eletrodomesticos,607.49,33.2354300998,2022-01-01,Juliana Costa,MG,5,cartao_credito,3,-18.1,-44.38
684346752ccfd5e865876ea5,Bola de vôlei,esporte e lazer,75.11,1.5838206052,2022-01-01,Isabella Pereira,SP,5,cartao_credito,1,-22.19,-48.79
684346752ccfd5e865876ea6,Bateria,instrumentos musicais,1031.24,55.199204426,2023-01-01,Bruno Rodrigues,BA,5,boleto,1,-13.29,-41.71
684346752ccfd5e865876ea8,Sofá retrátil,moveis,888.09,51.7681594786,2023-01-01,Rafael Costa,SP,4,cartao_credito,20,-22.19,-48.79
684346752ccfd5e865876eaf,Micro-ondas,eletrodomesticos,1035.84,55.6864683002,2021-02-01,Felipe Santos,SP,2,cartao_credito,6,-22.19,-48.79
684346752ccfd5e865876eb2,Guitarra,instrumentos musicais,957.84,51.5283634201,2021-02-01,Isabella Pereira,SP,5,cartao_credito,1,-22.19,-48.79
684346752ccfd5e865876eb8,Guitarra,instrumentos musicais,1158.33,62.2086923009,2022-02-01,Bruno Rodrigues,SP,4,cartao_credito,2,-22.19,-48.79
684346752ccfd5e865876ec0,Poltrona,moveis,251.37,10.969135344,2022-02-01,Isabella Pereira,AL,4,boleto,1,-9.62,-36.82
684346752ccfd5e865876ec9,Modelagem preditiva,livros,70.49,1.337819504,2023-02-01,Isabella Pereira,PE,4,cupom,1,-8.38,-37.86
684346752ccfd5e865876ed5,Lavadora de roupas,eletrodomesticos,2034.43,108.8583816384,2021-03-01,Thiago Silva,RS,5,cartao_credito,2,-30.17,-53.5
684346752ccfd5e865876ee0,Carrinho controle remoto,brinquedos,116.0,3.7610900916,2022-03-01,Thiago Silva,SP,5,boleto,1,-22.19,-48.79
684346752ccfd5e865876ee3,Ciência de dados com python,livros,50.51,10.2450858314,2022-03-01,Thiago Silva,MG,1,cartao_credito,6,-18.1,-44.38
684346752ccfd5e865876eea,Dinossauro Rex,brinquedos,28.71,2.2157332793,2023-03-01,Bruno Rodrigues,RJ,5,cartao_credito,7,-22.25,-42.66
684346752ccfd5e865876f0e,Ciência de dados com python,livros,58.61,4.0606540096,2021-05-01,Beatriz Moraes,PR,4,cartao_credito,1,-24.89,-51.55
684346752ccfd5e865876f11,Mesa de jantar,moveis,360.0,19.4520428834,2022-05-01,Thiago Silva,SP,2,boleto,1,-22.19,-48.79
684346752ccfd5e865876f13,Cadeira de escritório,moveis,619.44,33.5144209995,2022-05-01,Isabella Pereira,SP,5,boleto,1,-22.19,-48.79
684346752ccfd5e865876f14,Mesa de centro,moveis,282.19,12.6102076249,2022-05-01,Pedro Gomes,MG,5,cartao_credito,1,-18.1,-44.38
684346752ccfd5e865876f15,Tablet ABXY,eletronicos,1754.04,93.6804790483,2022-05-01,Rafael Costa,MG,5,cartao_credito,8,-18.1,-44.38
684346752ccfd5e865876f24,TV Led UHD 4K,eletronicos,2366.39,123.58758751,2021-06-01,Isabella Pereira,MG,3,boleto,1,-18.1,-44.38
684346752ccfd5e865876f25,Boneca bebê,brinquedos,78.61,4.4688719181,2021-06-01,Lucas Oliveira,MG,5,cartao_debito,1,-18.1,-44.38
684346752ccfd5e865876f28,Mesa de jantar,moveis,317.11,17.1682794138,2022-06-01,Felipe Santos,MG,5,boleto,1,-18.1,-44.38
684346752ccfd5e865876f2c,Celular ABXY,eletronicos,1490.52,83.8457446259,2022-06-01,Felipe Santos,MG,5,cartao_credito,5,-18.1,-44.38
684346752ccfd5e865876f30,Corda de pular,esporte e lazer,13.3,0.0,2022-06-01,Bruno Rodrigues,SP,5,cartao_credito,3,-22.19,-48.79
684346752ccfd5e865876f34,Boneca bebê,brinquedos,77.75,11.9419632143,2022-06-01,Thiago Silva,SP,2,cartao_credito,3,-22.19,-48.79
684346752ccfd5e865876f3b,Mesa de centro,moveis,238.81,13.2470185882,2021-07-01,Bruno Rodrigues,RJ,5,cartao_credito,1,-22.25,-42.66
684346752ccfd5e865876f45,Lava louças,eletrodomesticos,1567.6,84.0010885515,2022-07-01,Bruno Rodrigues,SP,1,cupom,1,-22.19,-48.79
684346752ccfd5e865876f4a,Xadrez de madeira,brinquedos,31.39,0.0,2022-07-01,João Souza,RS,2,cartao_credito,5,-30.17,-53.5
684346752ccfd5e865876f58,Cama box,moveis,644.88,31.922359007,2021-08-01,Larissa Alves,TO,3,cartao_credito,5,-9.46,-48.26
684346752ccfd5e865876f5a,Geladeira,eletrodomesticos,2779.44,148.5279228476,2021-08-01,Bruno Rodrigues,RJ,5,cartao_credito,4,-22.25,-42.66
684346752ccfd5e865876f5b,Smartwatch,eletronicos,269.3,14.6225407456,2021-08-01,Juliana Costa,RJ,5,cartao_credito,5,-22.25,-42.66
684346752ccfd5e865876f5d,Sofá retrátil,moveis,903.89,49.017838409,2021-08-01,Juliana Costa,SP,1,cartao_debito,1,-22.19,-48.79
684346752ccfd5e865876f60,Jogo de panelas,utilidades domesticas,258.57,11.3525136834,2021-08-01,Bruno Rodrigues,SP,5,cartao_credito,1,-22.19,-48.79
684346752ccfd5e865876f62,Guarda roupas,moveis,697.32,37.4133180887,2021-08-01,Bruno Rodrigues,SP,4,cartao_credito,1,-22.19,-48.79
684346752ccfd5e865876f66,Iniciando em programação,livros,41.11,0.0,2022-08-01,Thiago Silva,ES,1,cartao_credito,1,-19.19,-40.34
684346752ccfd5e865876f68,Guitarra,instrumentos musicais,1115.85,57.0000946391,2022-08-01,Mariana Ferreira,RJ,5,boleto,1,-22.25,-42.66
684346752ccfd5e865876f6f,Cômoda,moveis,323.0,17.7298828107,2022-08-01,Mariana Ferreira,SP,5,cartao_credito,12,-22.19,-48.79
684346752ccfd5e865876f71,Dinossauro Rex,brinquedos,20.73,1.3869360445,2022-08-01,Bruno Rodrigues,SP,5,boleto,1,-22.19,-48.79
684346752ccfd5e865876f80,Poltrona,moveis,328.18,15.0590367685,2021-09-01,Lucas Oliveira,BA,5,cartao_credito,5,-13.29,-41.71
684346752ccfd5e865876f81,Bicicleta,esporte e lazer,852.68,42.9870838607,2021-09-01,Felipe Santos,SP,5,cartao_credito,3,-22.19,-48.79
684346752ccfd5e865876f83,TV Led UHD 4K,eletronicos,3655.0,194.9008801932,2021-09-01,Felipe Santos,SP,5,cartao_credito,8,-22.19,-48.79
684346752ccfd5e865876f95,Bola de vôlei,esporte e lazer,56.47,3.5379621406,2022-10-01,Felipe Santos,SP,3,cartao_credito,10,-22.19,-48.79
684346752ccfd5e865876f9a,Pandeiro,instrumentos musicais,57.68,0.0,2022-10-01,Thiago Silva,SP,5,cartao_credito,1,-22.19,-48.79
684346752ccfd5e865876fa0,Poltrona,moveis,258.15,14.0344876928,2022-10-01,Thiago Silva,SP,4,cartao_credito,3,-22.19,-48.79
684346752ccfd5e865876faa,Iniciando em programação,livros,60.27,3.4923220922,2021-11-01,Juliana Costa,SP,5,cartao_credito,1,-22.19,-48.79
684346752ccfd5e865876faf,Iniciando em programação,livros,70.05,6.8937680841,2022-11-01,Pedro Gomes,SP,4,cartao_credito,1,-22.19,-48.79
684346752ccfd5e865876fb3,Dashboards com Power BI,livros,51.67,3.0343979645,2022-11-01,Larissa Alves,SP,5,cartao_credito,1,-22.19,-48.79
684346752ccfd5e865876fc5,Fone de ouvido,eletronicos,99.41,5.5820602468,2021-12-01,Bianca Santos,RJ,5,cartao_credito,1,-22.25,-42.66
684346752ccfd5e865876fc9,Lavadora de roupas,eletrodomesticos,2036.88,106.0421713091,2021-12-01,Isabella Pereira,SC,5,cartao_credito,2,-27.45,-50.95
684346752ccfd5e865876fcd,Mesa de centro,moveis,222.18,9.4148556593,2022-12-01,Bianca Santos,ES,5,cartao_credito,4,-19.19,-40.34
684346752ccfd5e865876fcf,Assistente virtual,eletronicos,241.22,13.3705043024,2022-12-01,Beatriz Moraes,SP,4,cartao_credito,8,-22.19,-48.79
684346752ccfd5e865876fd2,Cama box,moveis,860.58,46.7117112029,2022-12-01,Felipe Santos,SP,4,boleto,1,-22.19,-48.79
684346752ccfd5e865876fd3,Secadora de roupas,eletrodomesticos,1327.15,68.2511839634,2022-12-01,Thiago Silva,SP,5,boleto,1,-22.19,-48.79
684346752ccfd5e865876fe0,Panela de pressão,utilidades domesticas,124.28,4.201975182,2021-01-02,Pedro Gomes,SP,1,cupom,1,-22.19,-48.79
684346752ccfd5e865876fe1,Mochila,esporte e lazer,118.99,7.0228716806,2021-01-02,Mariana Ferreira,SP,4,boleto,1,-22.19,-48.79
684346752ccfd5e865876fe3,Pandeiro,instrumentos musicais,44.54,0.0,2021-01-02,Thiago Silva,MS,5,cartao_credito,1,-20.51,-54.54
684346752ccfd5e865876fee,Mesa de centro,moveis,258.77,14.3098285405,2022-01-02,Rafael Costa,MG,5,boleto,1,-18.1,-44.38
684346752ccfd5e865876ff0,Jogo de tabuleiro,brinquedos,197.25,10.7860950011,2023-01-02,Felipe Santos,SP,5,cartao_credito,1,-22.19,-48.79
684346752ccfd5e865877005,Jogo de panelas,utilidades domesticas,106.07,3.232347465,2021-02-02,Juliana Costa,SP,5,cartao_credito,10,-22.19,-48.79
684346752ccfd5e865877009,Guitarra,instrumentos musicais,985.32,52.9964302848,2021-02-02,Isabella Pereira,PA,5,boleto,1,-3.79,-52.48
684346752ccfd5e86587700a,Micro-ondas,eletrodomesticos,742.6,37.1256550258,2022-02-02,Thiago Silva,SP,5,cartao_credito,1,-22.19,-48.79
684346752ccfd5e86587700b,Cômoda,moveis,352.09,19.0308591799,2022-02-02,Felipe Santos,SP,5,cartao_credito,1,-22.19,-48.79
684346752ccfd5e865877014,Guarda roupas,moveis,643.59,34.5523572302,2022-02-02,Juliana Costa,MG,5,boleto,1,-18.1,-44.38
684346752ccfd5e86587701b,Cadeira de escritório,moveis,649.33,37.738685376,2023-02-02,Pedro Gomes,GO,4,cartao_credito,3,-15.98,-49.86
684346752ccfd5e86587701d,Headset,eletronicos,346.22,16.0196124969,2023-02-02,Bianca Santos,SP,5,cartao_credito,10,-22.19,-48.79
684346752ccfd5e865877032,Mesa de centro,moveis,202.08,17.139766427,2022-03-02,Pedro Gomes,MG,1,cartao_credito,8,-18.1,-44.38
684346752ccfd5e865877035,Assistente virtual,eletronicos,151.07,8.731035171,2022-03-02,João Souza,RS,5,cartao_credito,3,-30.17,-53.5
684346752ccfd5e86587703b,Smart TV,eletronicos,2186.36,114.0015316129,2023-03-02,Isabella Pereira,SP,5,cartao_credito,2,-22.19,-48.79
684346752ccfd5e865877041,Cubo mágico 8x8,brinquedos,11.8,1.159419026,2021-04-02,Mariana Ferreira,RJ,4,cartao_credito,10,-22.25,-42.66
684346752ccfd5e865877044,Smartwatch,eletronicos,292.91,15.8797022172,2021-04-02,Felipe Santos,SP,5,cartao_credito,4,-22.19,-48.79
684346752ccfd5e865877049,Micro-ondas,eletrodomesticos,564.46,30.5869014016,2022-04-02,Pedro Gomes,SP,5,cartao_credito,1,-22.19,-48.79
684346752ccfd5e86587704b,Boneca bebê,brinquedos,64.05,11.2085209206,2022-04-02,Isabella Pereira,SP,5,cupom,1,-22.19,-48.79
684346752ccfd5e86587704c,Blocos de montar,brinquedos,57.45,0.0,2022-04-02,Rafael Costa,RS,4,cartao_credito,2,-30.17,-53.5
684346752ccfd5e86587704d,Guitarra,instrumentos musicais,844.59,42.5563156987,2022-04-02,Juliana Costa,TO,1,cartao_credito,7,-9.46,-48.26
684346752ccfd5e86587704f,Lava louças,eletrodomesticos,1773.64,92.0254332413,2022-04-02,Bruno Rodrigues,SP,4,cartao_credito,1,-22.19,-48.79
684346752ccfd5e865877050,Jogo de tabuleiro,brinquedos,193.39,10.8237006943,2022-04-02,Larissa Alves,MG,5,cupom,1,-18.1,-44.38
684346752ccfd5e865877057,Mesa de jantar,moveis,210.52,17.589171036,2021-05-02,Felipe Santos,SP,3,cartao_credito,1,-22.19,-48.79
684346752ccfd5e86587705d,Fogão,eletrodomesticos,739.76,36.9744335697,2021-05-02,Isabella Pereira,SP,4,cartao_debito,1,-22.19,-48.79
684346752ccfd5e86587705e,Cubo mágico 8x8,brinquedos,21.74,0.0,2022-05-02,Mariana Ferreira,SP,5,boleto,1,-22.19,-48.79
684346752ccfd5e86587705f,Dashboards com Power BI,livros,52.8,3.4984533068,2022-05-02,Juliana Costa,SP,4,boleto,1,-22.19,-48.79
684346752ccfd5e865877060,Tablet ABXY,eletronicos,1977.7,105.8376798051,2022-05-02,Felipe Santos,SP,5,boleto,1,-22.19,-48.79
684346752ccfd5e865877061,Cama king,moveis,1022.62,60.6933739328,2022-05-02,Beatriz Moraes,RJ,2,cartao_credito,1,-22.25,-42.66
684346752ccfd5e865877066,Assistente virtual,eletronicos,382.79,17.9668549795,2022-05-02,Larissa Alves,SC,4,cartao_credito,1,-27.45,-50.95
684346752ccfd5e865877073,Tablet ABXY,eletronicos,1456.93,78.264151617,2021-06-02,Camila Ribeiro,MG,1,cartao_credito,9,-18.1,-44.38
684346752ccfd5e865877079,Headset,eletronicos,287.09,15.8129438069,2022-06-02,Bruno Rodrigues,RJ,5,cartao_credito,3,-22.25,-42.66
684346752ccfd5e865877083,Bola de basquete,esporte e lazer,51.69,0.0,2021-07-02,Bruno Rodrigues,MG,3,cartao_credito,6,-18.1,-44.38
684346752ccfd5e865876f84,Tablet ABXY,eletronicos,1461.16,75.3868133072,2021-09-01,Felipe Santos,SP,5,cartao_credito,4,-22.19,-48.79
684346752ccfd5e865876f93,Ciência de dados com python,livros,80.32,1.8612374314,2021-10-01,Rafael Costa,SP,4,cartao_credito,2,-22.19,-48.79
684346752ccfd5e865876f94,Blocos de montar,brinquedos,33.28,2.055185789,2021-10-01,Beatriz Moraes,RJ,5,cartao_credito,1,-22.25,-42.66
684346752ccfd5e865876f9c,Cubo mágico 8x8,brinquedos,17.1,1.4367885458,2022-10-01,Lucas Oliveira,SP,1,cartao_credito,4,-22.19,-48.79
684346752ccfd5e865876f9d,Xadrez de madeira,brinquedos,47.86,3.2354131684,2022-10-01,Felipe Santos,DF,2,cartao_credito,1,-15.83,-47.86
684346752ccfd5e865876fac,Smartwatch,eletronicos,299.38,16.4673493336,2021-11-01,Thiago Silva,SP,5,cartao_debito,1,-22.19,-48.79
684346752ccfd5e865876fb1,Impressora,eletronicos,301.95,17.4770444591,2022-11-01,Thiago Silva,SP,5,cartao_credito,1,-22.19,-48.79
684346752ccfd5e865876fb2,Jogo de panelas,utilidades domesticas,203.11,8.3994355295,2022-11-01,Mariana Ferreira,SP,2,cartao_credito,4,-22.19,-48.79
684346752ccfd5e865876fb5,Xadrez de madeira,brinquedos,33.07,2.2919825372,2022-11-01,Lucas Oliveira,PE,1,cartao_credito,1,-8.38,-37.86
684346752ccfd5e865876fb6,Cadeira de escritório,moveis,632.67,34.3747863238,2022-11-01,Larissa Alves,MG,1,boleto,1,-18.1,-44.38
684346752ccfd5e865876fb7,Carrinho controle remoto,brinquedos,71.59,4.3382171179,2022-11-01,Juliana Costa,MG,3,boleto,1,-18.1,-44.38
684346752ccfd5e865876fc1,Pandeiro,instrumentos musicais,74.44,4.2468319632,2021-12-01,Felipe Santos,MA,5,boleto,1,-5.42,-45.44
684346752ccfd5e865876fc2,Cômoda,moveis,376.58,17.6361911617,2021-12-01,Pedro Gomes,PR,4,cartao_credito,3,-24.89,-51.55
684346752ccfd5e865876fc4,Bola de vôlei,esporte e lazer,73.99,10.3193592734,2021-12-01,Lucas Oliveira,SP,5,cartao_credito,2,-22.19,-48.79
684346752ccfd5e865876fc7,Tablet ABXY,eletronicos,1387.78,71.4795490639,2021-12-01,Thiago Silva,RS,5,cartao_credito,6,-30.17,-53.5
684346752ccfd5e865876fc8,Blocos de montar,brinquedos,43.06,2.5759413669,2021-12-01,Felipe Santos,SP,4,boleto,1,-22.19,-48.79
684346752ccfd5e865876fcc,Modelagem preditiva,livros,79.82,1.8346139356,2022-12-01,Felipe Santos,CE,5,cartao_credito,1,-5.2,-39.53
684346752ccfd5e865876fd0,Celular Plus X42,eletronicos,2044.46,109.3924489641,2022-12-01,Rafael Costa,RO,1,cartao_credito,8,-10.83,-63.34
684346752ccfd5e865876fd1,Xadrez de madeira,brinquedos,32.67,0.0,2022-12-01,Isabella Pereira,MG,5,cartao_credito,5,-18.1,-44.38
684346752ccfd5e865876fd7,Copo térmico,esporte e lazer,39.36,2.9842167642,2022-12-01,Juliana Costa,SP,5,cupom,1,-22.19,-48.79
684346752ccfd5e865876fde,Carrinho controle remoto,brinquedos,83.37,5.3276168644,2021-01-02,Thiago Silva,MG,5,cartao_credito,3,-18.1,-44.38
684346752ccfd5e865876fe4,Faqueiro,utilidades domesticas,51.53,0.0,2021-01-02,Mariana Ferreira,SP,3,cartao_credito,4,-22.19,-48.79
684346752ccfd5e865876fea,Secadora de roupas,eletrodomesticos,1600.38,85.4985463196,2022-01-02,Camila Ribeiro,MG,4,cartao_credito,1,-18.1,-44.38
684346752ccfd5e865876fec,Modelagem preditiva,livros,95.7,9.5757758076,2022-01-02,Juliana Costa,SP,5,cartao_credito,1,-22.19,-48.79
684346752ccfd5e865876fed,Cubo mágico 8x8,brinquedos,22.12,0.0,2022-01-02,Bianca Santos,SP,4,cartao_credito,1,-22.19,-48.79
684346752ccfd5e865876fef,Guarda roupas,moveis,677.22,36.3430535576,2023-01-02,Beatriz Moraes,SP,5,cartao_credito,3,-22.19,-48.79
684346752ccfd5e865876ff2,Mesa de jantar,moveis,303.58,17.104569541,2023-01-02,Felipe Santos,SP,5,cartao_credito,3,-22.19,-48.79
684346752ccfd5e865877004,Cômoda,moveis,412.07,22.2246137358,2021-02-02,Camila Ribeiro,SP,5,cartao_credito,6,-22.19,-48.79
684346752ccfd5e865877007,Corda de pular,esporte e lazer,32.04,0.0,2021-02-02,Pedro Gomes,RJ,5,cartao_credito,1,-22.25,-42.66
684346752ccfd5e86587700e,Cadeira de escritório,moveis,539.69,29.0256457068,2022-02-02,João Souza,SC,5,cartao_credito,5,-27.45,-50.95
684346752ccfd5e86587700f,Modelagem preditiva,livros,64.69,3.7276737951,2022-02-02,Larissa Alves,SP,5,cartao_credito,2,-22.19,-48.79
684346752ccfd5e865877010,Xadrez de madeira,brinquedos,39.11,2.3656157501,2022-02-02,Lucas Oliveira,MG,1,cartao_credito,2,-18.1,-44.38
684346752ccfd5e865877018,Lava louças,eletrodomesticos,1858.69,99.5007553353,2023-02-02,Larissa Alves,RJ,3,cartao_credito,3,-22.25,-42.66
684346752ccfd5e86587701c,Faqueiro,utilidades domesticas,44.3,2.8899462528,2023-02-02,Bruno Rodrigues,SP,5,cartao_credito,1,-22.19,-48.79
684346752ccfd5e86587702b,Blocos de montar,brinquedos,42.07,3.1799487686,2021-03-02,Thiago Silva,MT,5,cartao_credito,1,-12.64,-55.42
684346752ccfd5e865877030,Celular Plus X42,eletronicos,1851.35,96.1632569582,2021-03-02,Isabella Pereira,SP,3,cartao_credito,2,-22.19,-48.79
684346752ccfd5e865877037,Modelagem preditiva,livros,84.08,2.0614461198,2023-03-02,Lucas Oliveira,SC,1,cartao_credito,1,-27.45,-50.95
684346752ccfd5e865877039,Smartwatch,eletronicos,244.8,13.7218756933,2023-03-02,Felipe Santos,CE,4,cartao_credito,5,-5.2,-39.53
684346752ccfd5e865877045,Modelagem preditiva,livros,61.12,3.7855606515,2021-04-02,Isabella Pereira,BA,5,cartao_credito,10,-13.29,-41.71
